PROVINCIA,DEPARTAMENTO,STATION_ID
Buenos Aires,25 de Mayo,AR000087692
Buenos Aires,9 de Julio,AR000087692
Buenos Aires,Adolfo Alsina,AR000087692
Buenos Aires,Adolfo Gonzales Chaves,AR000087692
Buenos Aires,Alberti,AR000087692
Buenos Aires,Arrecifes,AR000087692
Buenos Aires,Ayacucho,AR000087692
Buenos Aires,Azul,AR000087692
Buenos Aires,Bahía Blanca,AR000087692
Buenos Aires,Balcarce,AR000087692
Buenos Aires,Baradero,AR000087692
Buenos Aires,Benito Juárez,AR000087692
Buenos Aires,Bolívar,AR000087692
Buenos Aires,Bragado,AR000087692
Buenos Aires,Campana,AR000087692
Buenos Aires,Cañuelas,AR000087692
Buenos Aires,Capitán Sarmiento,AR000087692
Buenos Aires,Carlos Casares,AR000087692
Buenos Aires,Carlos Tejedor,AR000087692
Buenos Aires,Carmen de Areco,AR000087692
Buenos Aires,Castelli,AR000087692
Buenos Aires,Chacabuco,AR000087692
Buenos Aires,Chascomús,AR000087692
Buenos Aires,Chivilcoy,AR000087692
Buenos Aires,Colón,AR000087692
Buenos Aires,Coronel de Marina Leonardo Rosales,AR000087692
Buenos Aires,Coronel Dorrego,AR000087692
Buenos Aires,Coronel Pringles,AR000087692
Buenos Aires,Coronel Suárez,AR000087692
Buenos Aires,Daireaux,AR000087692
Buenos Aires,Exaltación de la Cruz,AR000087692
Buenos Aires,General Alvarado,AR000087692
Buenos Aires,General Alvear,AR000087692
Buenos Aires,General Arenales,AR000087692
Buenos Aires,General Belgrano,AR000087692
Buenos Aires,General Juan Madariaga,AR000087692
Buenos Aires,General La Madrid,AR000087692
Buenos Aires,General Pinto,AR000087692
Buenos Aires,General Pueyrredón,AR000087692
Buenos Aires,General Viamonte,AR000087692
Buenos Aires,General Villegas,AR000087692
Buenos Aires,Guaminí,AR000087692
Buenos Aires,Hipólito Yrigoyen,AR000087692
Buenos Aires,Junín,AR000087692
Buenos Aires,Laprida,AR000087692
Buenos Aires,Las Flores,AR000087692
Buenos Aires,Leandro N. Alem,AR000087692
Buenos Aires,Lincoln,AR000087692
Buenos Aires,Lobería,AR000087692
Buenos Aires,Lobos,AR000087692
Buenos Aires,Luján,AR000087692
Buenos Aires,Maipú,AR000087692
Buenos Aires,Mar Chiquita,AR000087692
Buenos Aires,Mercedes,AR000087692
Buenos Aires,Monte,AR000087692
Buenos Aires,Navarro,AR000087692
Buenos Aires,Necochea,AR000087692
Buenos Aires,Olavarría,AR000087692
Buenos Aires,Patagones,AR000087692
Buenos Aires,Pehuajó,AR000087692
Buenos Aires,Pellegrini,AR000087692
Buenos Aires,Pergamino,AR000087692
Buenos Aires,Pila,AR000087692
Buenos Aires,Puán,AR000087692
Buenos Aires,Ramallo,AR000087692
Buenos Aires,Rauch,AR000087692
Buenos Aires,Rivadavia,AR000087692
Buenos Aires,Rojas,AR000087692
Buenos Aires,Roque Pérez,AR000087692
Buenos Aires,Saavedra,AR000087692
Buenos Aires,Saladillo,AR000087692
Buenos Aires,Salliqueló,AR000087692
Buenos Aires,Salto,AR000087692
Buenos Aires,San Andrés de Giles,AR000087692
Buenos Aires,San Antonio de Areco,AR000087692
Buenos Aires,San Cayetano,AR000087692
Buenos Aires,San Nicolás,AR000087692
Buenos Aires,San Pedro,AR000087692
Buenos Aires,Suipacha,AR000087692
Buenos Aires,Tandil,AR000087692
Buenos Aires,Tapalqué,AR000087692
Buenos Aires,Tornquist,AR000087692
Buenos Aires,Trenque Lauquen,AR000087692
Buenos Aires,Tres Arroyos,AR000087692
Buenos Aires,Villarino,AR000087692
Buenos Aires,Zárate,AR000087692
Córdoba,Calamuchita,AR000087344
Córdoba,Capital,AR000087344
Córdoba,Colón,AR000087344
Córdoba,General Roca,AR000087344
Córdoba,General San Martín,AR000087344
Córdoba,Juárez Celman,AR000087344
Córdoba,Marcos Juárez,AR000087344
Córdoba,Presidente Roque Sáenz Peña,AR000087344
Córdoba,Río Cuarto,AR000087344
Córdoba,Río Primero,AR000087344
Córdoba,Río Segundo,AR000087344
Córdoba,San Justo,AR000087344
Córdoba,Santa María,AR000087344
Córdoba,Tercero Arriba,AR000087344
Córdoba,Totoral,AR000087344
Córdoba,Unión,AR000087344
Entre Ríos,Colón,AR000000004
Entre Ríos,Concordia,AR000000004
Entre Ríos,Diamante,AR000000004
Entre Ríos,Federal,AR000000004
Entre Ríos,Gualeguay,AR000000004
Entre Ríos,Gualeguaychú,AR000000004
Entre Ríos,La Paz,AR000000004
Entre Ríos,Nogoyá,AR000000004
Entre Ríos,Paraná,AR000000004
Entre Ríos,Tala,AR000000004
Entre Ríos,Uruguay,AR000000004
Entre Ríos,Victoria,AR000000004
Entre Ríos,Villaguay,AR000000004
La Pampa,Atreucó,AR000087623
La Pampa,Caleu Caleu,AR000087623
La Pampa,Capital,AR000087623
La Pampa,Catriló,AR000087623
La Pampa,Chapaleufú,AR000087623
La Pampa,Conhelo,AR000087623
La Pampa,Guatraché,AR000087623
La Pampa,Hucal,AR000087623
La Pampa,Loventué,AR000087623
La Pampa,Maracó,AR000087623
La Pampa,Quemú Quemú,AR000087623
La Pampa,Rancul,AR000087623
La Pampa,Realicó,AR000087623
La Pampa,Toay,AR000087623
La Pampa,Trenel,AR000087623
La Pampa,Utracán,AR000087623
Santa Fe,9 de Julio,AR000087257
Santa Fe,Belgrano,AR000087257
Santa Fe,Caseros,AR000087257
Santa Fe,Castellanos,AR000087257
Santa Fe,General López,AR000087257
Santa Fe,General Obligado,AR000087257
Santa Fe,Iriondo,AR000087257
Santa Fe,La Capital,AR000087257
Santa Fe,Las Colonias,AR000087257
Santa Fe,Rosario,AR000087257
Santa Fe,San Cristóbal,AR000087257
Santa Fe,San Javier,AR000087257
Santa Fe,San Jerónimo,AR000087257
Santa Fe,San Justo,AR000087257
Santa Fe,San Lorenzo,AR000087257
Santa Fe,San Martín,AR000087257
Santa Fe,Vera,AR000087257
Santa Fe,Villa Constitución,AR000087257
Buenos Aires,Dolores,AR000087692
Córdoba,Tulumba,AR000087344
Buenos Aires,Escobar,AR000087692
Buenos Aires,Florentino Ameghino,AR000087692
Buenos Aires,General Rodríguez,AR000087692
Buenos Aires,Pilar,AR000087692
Buenos Aires,Tres Lomas,AR000087692
Buenos Aires,General Guido,AR000087692
Buenos Aires,General Las Heras,AR000087692
Buenos Aires,General Lavalle,AR000087692
Córdoba,San Alberto,AR000087344
Córdoba,San Javier,AR000087344
Entre Ríos,Federación,AR000000004
Entre Ríos,Feliciano,AR000000004
Santa Fe,Garay,AR000087257
Buenos Aires,Marcos Paz,AR000087692
Córdoba,Río Seco,AR000087344
Córdoba,Ischilín,AR000087344
La Pampa,Puelén,AR000087623
Entre Ríos,San Salvador,AR000000004
Buenos Aires,Tordillo,AR000087692
Buenos Aires,Brandsen,AR000087692
Buenos Aires,General Paz,AR000087692
Buenos Aires,Magdalena,AR000087692
Buenos Aires,Punta Indio,AR000087692
Buenos Aires,San Vicente,AR000087692
Buenos Aires,La Plata,AR000087692
Córdoba,Cruz del Eje,AR000087344
